# Depth-area regression over ND dprst sample (issue #173 Task 7). Project=ND_3DEPProcessing_D22. n_sampled=731, n_usable=731 (626 non-flat / 105 flat). mean_depth_m = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (_interior_mask). flat = is_hydroflattened verdict (cached from --flatness when available, else computed fresh) -- flat polygons are EXCLUDED from all fits (their measured depth is ~freeboard, not real bed depth; see Task 5). PLAYA-ANCHORED large-area extrapolation is DEFERRED (only 1 Playa polygon in the ND study area) -- see the run log for the full extrapolation-risk caveat.
COMID,FTYPE,area_m2,mean_depth_m,flat,n_interior_cells,resolution
14411671,SwampMarsh,305639.9916045697,0.013743340831217749,False,301335,1m
21542836,SwampMarsh,319512.5215300976,0.0,True,316489,1m
14680186,SwampMarsh,582095.520050385,8.054451466396312e-07,False,585159,1m
14824701,SwampMarsh,770452.5149831715,2.9347979488107006e-07,False,769907,1m
14825945,SwampMarsh,59880.20374312226,0.009463810140569642,False,59838,1m
14425898,SwampMarsh,159989.2915685376,0.02557922573024055,False,160050,1m
14438734,SwampMarsh,507854.9887992867,0.36291705918523004,False,507407,1m
14292807,SwampMarsh,425174.42165462737,0.36489068625719634,False,424695,1m
14824853,SwampMarsh,843350.910764817,2.3796015593939244e-06,False,847633,1m
14293561,SwampMarsh,175556.14184773667,0.0,True,175377,1m
6690553,SwampMarsh,851148.1655445285,0.3954196918930773,False,852691,1m
14293643,SwampMarsh,242731.4779010503,2.1591313960584517e-05,False,242465,1m
14273988,SwampMarsh,371851.35715045553,0.01900682070730699,False,371384,1m
14826521,SwampMarsh,113214.49312309212,9.877975132497414e-05,False,113139,1m
14253407,LakePond,57829.764446331166,0.21603971938621072,False,57813,1m
14174385,LakePond,85440.06928176866,0.1963893175306718,False,85339,1m
14679438,LakePond,30207.70493506455,2.763192452641409,False,29984,1m
14747798,LakePond,223685.2433191733,0.05078734947406804,False,223508,1m
14297565,LakePond,41293.537931194965,0.22954065120068817,False,41268,1m
14299217,LakePond,13401.309742797444,0.3085176589580532,False,13386,1m
6677124,LakePond,56755.19799804553,1.3558766049120913e-05,False,56735,1m
11439745,LakePond,20303.86210463998,0.0,False,20296,1m
11439859,LakePond,29994.747093590606,0.7668621398962434,False,29974,1m
11453024,LakePond,39342.998819228145,0.0,True,39325,1m
14411995,LakePond,63031.11545844649,0.16829077995170233,False,62943,1m
21536206,LakePond,55062.18451547808,0.32200295968914744,False,55010,1m
11436857,LakePond,15438.061731719701,0.39516838088077944,False,15421,1m
11499978,LakePond,29470.729858804945,0.015488112904314849,False,29447,1m
11497160,LakePond,14945.327195673473,0.47415752634326747,False,15024,1m
14251505,LakePond,42890.596686005185,0.16679731235858739,False,42871,1m
11501196,LakePond,124151.4890269298,0.16475555146406926,False,124072,1m
14294415,LakePond,21443.01531733483,0.21995826835062965,False,21440,1m
14274052,LakePond,20757.795335756695,0.8562123039806996,False,20725,1m
